제품명: ck one 200ml,제품ID: 1
추출 시간: 2025-10-05T15:16:33.828446

판매처,상품가격,배송비,배송비여부,최종가격
Waffle (우리회사),36946,2500,유료,39446
경쟁사 (퍼퓸허브),39494,0,무료,39494
경쟁사 (TK solution),38675,0,정보 없음,38675
경쟁사 (필코스),42315,3000,유료,45315

==================================================

제품명: ck one 200ml,제품ID: 2
추출 시간: 2025-10-05T15:16:41.185841

판매처,상품가격,배송비,배송비여부,최종가격
Waffle (우리회사),36946,2500,유료,39446
경쟁사 (퍼퓸허브),39494,0,무료,39494
경쟁사 (TK solution),38675,0,정보 없음,38675
경쟁사 (필코스),42315,3000,유료,45315

==================================================

